Amazon,IMDB,Yelp,Cleaned Amazon,Cleaned IMDB,Cleaned Yelp,Cleaned Sentence,Tokenized Amazon,Tokenized IMDB,Tokenized Yelp,Stemmed Amazon,Stemmed IMDB,Stemmed Yelp,Filtered Amazon,Filtered IMDB,Filtered Yelp,Tokenized Sentence,Stemmed Sentence,Filtered Sentence,Sentiment
I purcashed this for the car charger and it does not work. 0,,Sooooo good!! 1,i purcashed this for the car charger and it does not work 0,,sooooo good 1,,"['i', 'purcashed', 'this', 'for', 'the', 'car', 'charger', 'and', 'it', 'does', 'not', 'work', '0']",[],"['sooooo', 'good', '1']","['i', 'purcash', 'thi', 'for', 'the', 'car', 'charger', 'and', 'it', 'doe', 'not', 'work', '0']",[],"['sooooo', 'good', '1']","['purcash', 'thi', 'car', 'charger', 'doe', 'work', '0']",[],"['sooooo', 'good', '1']",i purcashed this for the car charger and it does not work 0 sooooo good 1,i purcash thi for the car charger and it doe not work 0 sooooo good 1,purcash thi car charger doe work 0 sooooo good 1,Positive
Sound quality on both end is excellent  I use headset to call my wife and ask my wife to use headset to call me !2. 1,,REAL sushi lovers  let's be honest - Yama is not that good. 0,sound quality on both end is excellent i use headset to call my wife and ask my wife to use headset to call me 2 1,,real sushi lovers let be honest yama is not that good 0,,"['sound', 'quality', 'on', 'both', 'end', 'is', 'excellent', 'i', 'use', 'headset', 'to', 'call', 'my', 'wife', 'and', 'ask', 'my', 'wife', 'to', 'use', 'headset', 'to', 'call', 'me', '2', '1']",[],"['real', 'sushi', 'lovers', 'let', 'be', 'honest', 'yama', 'is', 'not', 'that', 'good', '0']","['sound', 'qualiti', 'on', 'both', 'end', 'is', 'excel', 'i', 'use', 'headset', 'to', 'call', 'my', 'wife', 'and', 'ask', 'my', 'wife', 'to', 'use', 'headset', 'to', 'call', 'me', '2', '1']",[],"['real', 'sushi', 'lover', 'let', 'be', 'honest', 'yama', 'is', 'not', 'that', 'good', '0']","['sound', 'qualiti', 'end', 'excel', 'use', 'headset', 'call', 'wife', 'ask', 'wife', 'use', 'headset', 'call', '2', '1']",[],"['real', 'sushi', 'lover', 'let', 'honest', 'yama', 'good', '0']",sound quality on both end is excellent i use headset to call my wife and ask my wife to use headset to call me 2 1 real sushi lovers let be honest yama is not that good 0,sound qualiti on both end is excel i use headset to call my wife and ask my wife to use headset to call me 2 1 real sushi lover let be honest yama is not that good 0,sound qualiti end excel use headset call wife ask wife use headset call 2 1 real sushi lover let honest yama good 0,Positive
This phone is slim and light and the display is beautiful. 1,,At least 40min passed in between us ordering and the food arriving  and it wasn't that busy. 0,this phone is slim and light and the display is beautiful 1,,at least 40min passed in between us ordering and the food arriving and it was that busy 0,,"['this', 'phone', 'is', 'slim', 'and', 'light', 'and', 'the', 'display', 'is', 'beautiful', '1']",[],"['at', 'least', '40min', 'passed', 'in', 'between', 'us', 'ordering', 'and', 'the', 'food', 'arriving', 'and', 'it', 'was', 'that', 'busy', '0']","['thi', 'phone', 'is', 'slim', 'and', 'light', 'and', 'the', 'display', 'is', 'beauti', '1']",[],"['at', 'least', '40min', 'pass', 'in', 'between', 'us', 'order', 'and', 'the', 'food', 'arriv', 'and', 'it', 'wa', 'that', 'busi', '0']","['thi', 'phone', 'slim', 'light', 'display', 'beauti', '1']",[],"['least', '40min', 'pass', 'us', 'order', 'food', 'arriv', 'wa', 'busi', '0']",this phone is slim and light and the display is beautiful 1 at least 40min passed in between us ordering and the food arriving and it was that busy 0,thi phone is slim and light and the display is beauti 1 at least 40min pass in between us order and the food arriv and it wa that busi 0,thi phone slim light display beauti 1 least 40min pass us order food arriv wa busi 0,Neutral
its a little geeky but i think thats its sex on toast and it rocks and oozes sex right down to its battery embedded sleek stylish leather case. 1,,This is a really fantastic Thai restaurant which is definitely worth a visit. 1,its a little geeky but i think thats its sex on toast and it rocks and oozes sex right down to its battery embedded sleek stylish leather case 1,,this is a really fantastic thai restaurant which is definitely worth a visit 1,,"['its', 'a', 'little', 'geeky', 'but', 'i', 'think', 'thats', 'its', 'sex', 'on', 'toast', 'and', 'it', 'rocks', 'and', 'oozes', 'sex', 'right', 'down', 'to', 'its', 'battery', 'embedded', 'sleek', 'stylish', 'leather', 'case', '1']",[],"['this', 'is', 'a', 'really', 'fantastic', 'thai', 'restaurant', 'which', 'is', 'definitely', 'worth', 'a', 'visit', '1']","['it', 'a', 'littl', 'geeki', 'but', 'i', 'think', 'that', 'it', 'sex', 'on', 'toast', 'and', 'it', 'rock', 'and', 'ooz', 'sex', 'right', 'down', 'to', 'it', 'batteri', 'embed', 'sleek', 'stylish', 'leather', 'case', '1']",[],"['thi', 'is', 'a', 'realli', 'fantast', 'thai', 'restaur', 'which', 'is', 'definit', 'worth', 'a', 'visit', '1']","['littl', 'geeki', 'think', 'sex', 'toast', 'rock', 'ooz', 'sex', 'right', 'batteri', 'embed', 'sleek', 'stylish', 'leather', 'case', '1']",[],"['thi', 'realli', 'fantast', 'thai', 'restaur', 'definit', 'worth', 'visit', '1']",its a little geeky but i think thats its sex on toast and it rocks and oozes sex right down to its battery embedded sleek stylish leather case 1 this is a really fantastic thai restaurant which is definitely worth a visit 1,it a littl geeki but i think that it sex on toast and it rock and ooz sex right down to it batteri embed sleek stylish leather case 1 thi is a realli fantast thai restaur which is definit worth a visit 1,littl geeki think sex toast rock ooz sex right batteri embed sleek stylish leather case 1 thi realli fantast thai restaur definit worth visit 1,Neutral
Great product  fast shipping!. 1,,Nice  spicy and tender. 1,great product fast shipping 1,,nice spicy and tender 1,,"['great', 'product', 'fast', 'shipping', '1']",[],"['nice', 'spicy', 'and', 'tender', '1']","['great', 'product', 'fast', 'ship', '1']",[],"['nice', 'spici', 'and', 'tender', '1']","['great', 'product', 'fast', 'ship', '1']",[],"['nice', 'spici', 'tender', '1']",great product fast shipping 1 nice spicy and tender 1,great product fast ship 1 nice spici and tender 1,great product fast ship 1 nice spici tender 1,Neutral
Absolutely great. 1,,Good prices. 1,absolutely great 1,,good prices 1,,"['absolutely', 'great', '1']",[],"['good', 'prices', '1']","['absolut', 'great', '1']",[],"['good', 'price', '1']","['absolut', 'great', '1']",[],"['good', 'price', '1']",absolutely great 1 good prices 1,absolut great 1 good price 1,absolut great 1 good price 1,Positive
The keyboard is a nice compromise between a full QWERTY and the basic cell phone number keypad. 1,,Check it out. 1,the keyboard is a nice compromise between a full qwerty and the basic cell phone number keypad 1,,check it out 1,,"['the', 'keyboard', 'is', 'a', 'nice', 'compromise', 'between', 'a', 'full', 'qwerty', 'and', 'the', 'basic', 'cell', 'phone', 'number', 'keypad', '1']",[],"['check', 'it', 'out', '1']","['the', 'keyboard', 'is', 'a', 'nice', 'compromis', 'between', 'a', 'full', 'qwerti', 'and', 'the', 'basic', 'cell', 'phone', 'number', 'keypad', '1']",[],"['check', 'it', 'out', '1']","['keyboard', 'nice', 'compromis', 'full', 'qwerti', 'basic', 'cell', 'phone', 'number', 'keypad', '1']",[],"['check', '1']",the keyboard is a nice compromise between a full qwerty and the basic cell phone number keypad 1 check it out 1,the keyboard is a nice compromis between a full qwerti and the basic cell phone number keypad 1 check it out 1,keyboard nice compromis full qwerti basic cell phone number keypad 1 check 1,Neutral
i got this phone around the end of may and i'm completely unhappy with it. 0,,It was pretty gross! 0,i got this phone around the end of may and i completely unhappy with it 0,,it was pretty gross 0,,"['i', 'got', 'this', 'phone', 'around', 'the', 'end', 'of', 'may', 'and', 'i', 'completely', 'unhappy', 'with', 'it', '0']",[],"['it', 'was', 'pretty', 'gross', '0']","['i', 'got', 'thi', 'phone', 'around', 'the', 'end', 'of', 'may', 'and', 'i', 'complet', 'unhappi', 'with', 'it', '0']",[],"['it', 'wa', 'pretti', 'gross', '0']","['got', 'thi', 'phone', 'around', 'end', 'may', 'complet', 'unhappi', '0']",[],"['wa', 'pretti', 'gross', '0']",i got this phone around the end of may and i completely unhappy with it 0 it was pretty gross 0,i got thi phone around the end of may and i complet unhappi with it 0 it wa pretti gross 0,got thi phone around end may complet unhappi 0 wa pretti gross 0,Neutral
It is very comfortable on the ear. 1,,I've had better atmosphere. 0,it is very comfortable on the ear 1,,i had better atmosphere 0,,"['it', 'is', 'very', 'comfortable', 'on', 'the', 'ear', '1']",[],"['i', 'had', 'better', 'atmosphere', '0']","['it', 'is', 'veri', 'comfort', 'on', 'the', 'ear', '1']",[],"['i', 'had', 'better', 'atmospher', '0']","['veri', 'comfort', 'ear', '1']",[],"['better', 'atmospher', '0']",it is very comfortable on the ear 1 i had better atmosphere 0,it is veri comfort on the ear 1 i had better atmospher 0,veri comfort ear 1 better atmospher 0,Neutral
It has been a winner for us. 1,,Kind of hard to mess up a steak but they did. 0,it has been a winner for us 1,,kind of hard to mess up a steak but they did 0,,"['it', 'has', 'been', 'a', 'winner', 'for', 'us', '1']",[],"['kind', 'of', 'hard', 'to', 'mess', 'up', 'a', 'steak', 'but', 'they', 'did', '0']","['it', 'ha', 'been', 'a', 'winner', 'for', 'us', '1']",[],"['kind', 'of', 'hard', 'to', 'mess', 'up', 'a', 'steak', 'but', 'they', 'did', '0']","['ha', 'winner', 'us', '1']",[],"['kind', 'hard', 'mess', 'steak', '0']",it has been a winner for us 1 kind of hard to mess up a steak but they did 0,it ha been a winner for us 1 kind of hard to mess up a steak but they did 0,ha winner us 1 kind hard mess steak 0,Neutral
)Setup couldn't have been simpler. 1,,Although I very much liked the look and sound of this place  the actual experience was a bit disappointing. 0,setup could have been simpler 1,,although i very much liked the look and sound of this place the actual experience was a bit disappointing 0,,"['setup', 'could', 'have', 'been', 'simpler', '1']",[],"['although', 'i', 'very', 'much', 'liked', 'the', 'look', 'and', 'sound', 'of', 'this', 'place', 'the', 'actual', 'experience', 'was', 'a', 'bit', 'disappointing', '0']","['setup', 'could', 'have', 'been', 'simpler', '1']",[],"['although', 'i', 'veri', 'much', 'like', 'the', 'look', 'and', 'sound', 'of', 'thi', 'place', 'the', 'actual', 'experi', 'wa', 'a', 'bit', 'disappoint', '0']","['setup', 'could', 'simpler', '1']",[],"['although', 'veri', 'much', 'like', 'look', 'sound', 'thi', 'place', 'actual', 'experi', 'wa', 'bit', 'disappoint', '0']",setup could have been simpler 1 although i very much liked the look and sound of this place the actual experience was a bit disappointing 0,setup could have been simpler 1 although i veri much like the look and sound of thi place the actual experi wa a bit disappoint 0,setup could simpler 1 although veri much like look sound thi place actual experi wa bit disappoint 0,Neutral
I've tried several different earpieces for my cell phone and this Jabra one is the first one I've found that fits my ear comfortably. 1,,I just don't know how this place managed to served the blandest food I have ever eaten when they are preparing Indian cuisine. 0,i tried several different earpieces for my cell phone and this jabra one is the first one i found that fits my ear comfortably 1,,i just do know how this place managed to served the blandest food i have ever eaten when they are preparing indian cuisine 0,,"['i', 'tried', 'several', 'different', 'earpieces', 'for', 'my', 'cell', 'phone', 'and', 'this', 'jabra', 'one', 'is', 'the', 'first', 'one', 'i', 'found', 'that', 'fits', 'my', 'ear', 'comfortably', '1']",[],"['i', 'just', 'do', 'know', 'how', 'this', 'place', 'managed', 'to', 'served', 'the', 'blandest', 'food', 'i', 'have', 'ever', 'eaten', 'when', 'they', 'are', 'preparing', 'indian', 'cuisine', '0']","['i', 'tri', 'sever', 'differ', 'earpiec', 'for', 'my', 'cell', 'phone', 'and', 'thi', 'jabra', 'one', 'is', 'the', 'first', 'one', 'i', 'found', 'that', 'fit', 'my', 'ear', 'comfort', '1']",[],"['i', 'just', 'do', 'know', 'how', 'thi', 'place', 'manag', 'to', 'serv', 'the', 'blandest', 'food', 'i', 'have', 'ever', 'eaten', 'when', 'they', 'are', 'prepar', 'indian', 'cuisin', '0']","['tri', 'sever', 'differ', 'earpiec', 'cell', 'phone', 'thi', 'jabra', 'one', 'first', 'one', 'found', 'fit', 'ear', 'comfort', '1']",[],"['know', 'thi', 'place', 'manag', 'serv', 'blandest', 'food', 'ever', 'eaten', 'prepar', 'indian', 'cuisin', '0']",i tried several different earpieces for my cell phone and this jabra one is the first one i found that fits my ear comfortably 1 i just do know how this place managed to served the blandest food i have ever eaten when they are preparing indian cuisine 0,i tri sever differ earpiec for my cell phone and thi jabra one is the first one i found that fit my ear comfort 1 i just do know how thi place manag to serv the blandest food i have ever eaten when they are prepar indian cuisin 0,tri sever differ earpiec cell phone thi jabra one first one found fit ear comfort 1 know thi place manag serv blandest food ever eaten prepar indian cuisin 0,Neutral
Could not get strong enough signal. 0,,Worst service to boot  but that is the least of their worries. 0,could not get strong enough signal 0,,worst service to boot but that is the least of their worries 0,,"['could', 'not', 'get', 'strong', 'enough', 'signal', '0']",[],"['worst', 'service', 'to', 'boot', 'but', 'that', 'is', 'the', 'least', 'of', 'their', 'worries', '0']","['could', 'not', 'get', 'strong', 'enough', 'signal', '0']",[],"['worst', 'servic', 'to', 'boot', 'but', 'that', 'is', 'the', 'least', 'of', 'their', 'worri', '0']","['could', 'get', 'strong', 'enough', 'signal', '0']",[],"['worst', 'servic', 'boot', 'least', 'worri', '0']",could not get strong enough signal 0 worst service to boot but that is the least of their worries 0,could not get strong enough signal 0 worst servic to boot but that is the least of their worri 0,could get strong enough signal 0 worst servic boot least worri 0,Neutral
Iam very pleased with my purchase. 1,,Service was fine and the waitress was friendly. 1,iam very pleased with my purchase 1,,service was fine and the waitress was friendly 1,,"['iam', 'very', 'pleased', 'with', 'my', 'purchase', '1']",[],"['service', 'was', 'fine', 'and', 'the', 'waitress', 'was', 'friendly', '1']","['iam', 'veri', 'pleas', 'with', 'my', 'purchas', '1']",[],"['servic', 'wa', 'fine', 'and', 'the', 'waitress', 'wa', 'friendli', '1']","['iam', 'veri', 'pleas', 'purchas', '1']",[],"['servic', 'wa', 'fine', 'waitress', 'wa', 'friendli', '1']",iam very pleased with my purchase 1 service was fine and the waitress was friendly 1,iam veri pleas with my purchas 1 servic wa fine and the waitress wa friendli 1,iam veri pleas purchas 1 servic wa fine waitress wa friendli 1,Neutral
